"title","category","profile","difficulty_level","age_range","duration_minutes","wrong_way","phrase_1","say_it_like_this_step1","avoid_step1","phrase_2","say_it_like_this_step2","avoid_step2","phrase_3","say_it_like_this_step3","avoid_step3","neurological_tip","what_to_expect_1","what_to_expect_2","what_to_expect_3","related_script_ids"
"Won't Stay in Bed","Bedtime","DEFIANT","Moderate","3-7","10","Get back in bed right now! If I have to come in here one more time, you're losing your tablet tomorrow!","I see you're still feeling energetic and your body doesn't want to stay in bed. It's hard to lie still.","Walk calmly back to the room. Get down to eye level. Use a neutral, calm voice, not an angry one. Keep your body relaxed.","Don't yell from the hallway. Don't show frustration or anger. Don't immediately threaten. Don't make it a fun game.","You feel your body still wants to move, AND it's our job to help our bodies rest. The rule is we stay in our rooms. Do you want to lie in your bed and look at a book, or listen to one quiet song?","Keep your voice calm and firm (not mean). State the rule as 'the boss' (The rule is...). Offer two limited choices that you are okay with and that keep them in their room.","Don't say 'but'. Don't offer 'Can you just stay in bed?' (a 'no' option). Don't offer to play. Don't make the choices too exciting.","You're in charge of your choice. You pick one, and I'll help you get it set up. You know how to make good choices for your body.","Use an empowering tone. 'You're in charge...'. Step back and let them decide. Once they choose, calmly help them and leave again.","Don't hover. Don't say 'See, why was that so hard?'. Don't show impatience. Don't do it for them.","Direct commands trigger an amygdala threat response in defiant children. Offering a limited choice activates their dorsolateral prefrontal cortex (decision-making), satisfying their need for autonomy while maintaining the boundary.","You may have to do this 3-5 times the first night.","They may try to negotiate for a third choice; calmly restate the two options.","Consistency is everything. After 3-4 nights, the behavior will decrease.","Bedtime-Stalling Tactics|Bedtime-Early Morning Waking"
"Stalling Tactics","Bedtime","DEFIANT","Easy","3-6","5","No, you can't have water! I'm not falling for that! It's time to sleep!","You're thinking of all the things you need before bed. You really don't want the night to end.","Get to eye level. Use an understanding, slightly playful tone, as if you're 'in' on their tactic. Smile gently.","Don't sound annoyed. Don't accuse them of 'stalling' (even if they are). Don't roll your eyes or sigh.","It's hard to say goodbye to the day, AND the bedtime routine is finished. You can have one last hug or one last sip of water. Which one will it be?","Stay calm and firm, but warm. Offer a choice of ONE last thing. Make the choices very small and specific.","Don't offer both. Don't get drawn into a negotiation for more things. Don't say 'I already gave you water'.","You chose a sip of water. Great. You're in charge of getting that sip and putting the cup back. I'll wait right here to say goodnight.","Put the power in their hands. Let them physically do the last task. This gives them agency over the final step.","Don't do it for them. Don't rush them. Don't add '...and then you better get in bed'. Just let them complete the empowered task.","This acknowledges their need for control without letting them derail the routine. Giving them agency over the *final* step ('you get the water') ends the power struggle on a cooperative note.","They will likely test this by asking for 'one more' thing after their choice. Hold the boundary.","This script works best if you anticipate the stalling and use it *before* they ask for 5 things.","They feel respected, which makes cooperation more likely.","Bedtime-Won't Stay in Bed|Morning_Routines-Dawdling and Moving Slowly"
"Nighttime Fears","Bedtime","DEFIANT","Moderate","4-8","10","There's no monster! You're just trying to get out of bed! Stop being silly and go to sleep.","It sounds like you're feeling really scared right now. It's not a fun feeling to be scared in your room.","Sit on the bed with them. Use a very soft, empathetic voice. Put a hand on their back. Make full eye contact to show you are taking them seriously.","Don't dismiss the fear. Don't laugh. Don't say 'There's nothing there' (you don't know their feeling). Don't blame them.","That's a big, scary feeling, AND you are safe in this house. We need to help your brain feel safe. Do you want to use the 'monster spray' to check under the bed, or should we turn on your special nightlight?","Validate the feeling, then state the fact (safety). The choices should be *actions* they can take to gain control over the fear. 'Monster spray' is just a water bottle.","Don't offer to let them sleep in your bed (unless that's your family rule). Don't make the check a big, scary game. Keep it boring and procedural.","You are brave and you can be in charge of this. Let's get the 'monster spray'. You show me where the 'monsters' are, and you can spray them to tell them to leave. You're the boss of your room.","Hand them the tool (spray bottle, flashlight). Let them physically perform the action. Use language like 'You're the boss' and 'You're in charge'.","Don't do it for them. Don't say 'See, there's nothing here'. Instead, say 'Great job, you've made your room safe'.","Defiant children can use fear as a control method. This script validates the feeling (connection) but empowers them with a *tool* (choice/autonomy), giving them control over the *solution* instead of control over the *parent*.","The goal is to teach them to manage the fear, not to prove the fear is 'wrong'.","They may need this routine for several nights. Be consistent.","This builds genuine self-confidence and resilience.","Bedtime-Won't Stay in Bed|Tantrums-Control-Seeking Behavior"
"Early Morning Waking","Bedtime","DEFIANT","Hard","4-8","5","Go back to bed! It's 5 AM! Do not get up until your alarm goes off!","I see you're awake and ready to start the day. You must be an early bird!","Speak in a quiet, sleepy voice. Keep the lights dim. Show minimal engagement. This is about being loving but boring.","Don't turn on lights. Don't get angry. Don't start talking about the day. Don't show you're wide awake.","You're awake and that's okay, AND my body is still sleeping. The rule is that in the morning, everyone stays in their room quietly until the 'sun' on the clock turns green. You can read books in your bed, or play with these quiet-time-only toys. Your choice.","(This requires an 'Okay to Wake' clock). State the rule as 'the clock', not you. The choices must be 'quiet' and 'in your room'.","Don't offer to let them watch a screen. Don't negotiate. Don't let them come to your bed.","You're in charge of your morning. You can choose how you want to play quietly until the sun clock says it's time for everyone to be up. I know you can do it.","Point to the clock and the quiet toys. Give a quick kiss, and calmly lead them back to their room. Be loving but firm and, most importantly, *boring*.","Don't engage in a long talk. Don't stay in the room. Don't make it fun to be awake with you.","This sets a clear, external, non-negotiable boundary (the clock) instead of the parent being the 'bad guy'. Offering quiet, autonomous play choices respects their need for control while protecting the family's sleep.","You will have to lead them back to bed 10 times the first morning. Be a calm, boring robot.","This takes 1-2 weeks to stick, but it's life-changing.","The 'Okay to Wake' clock is non-negotiable for this script.","Bedtime-Won't Stay in Bed|Morning_Routines-Waking Up Grumpy"
"Refusing to Turn Off Screen","Screens","DEFIANT","Moderate","3-8","10","Turn it off NOW! I'm warning you, I'll count to three! 1... 2...","I can see you're in the middle of a really fun game. You don't want to stop. It's hard to stop when you're having fun.","Get down to eye level *before* the time is up (at the 2-minute warning). Put a hand on their shoulder. Make eye contact.","Don't yell from across the room. Don't just turn it off yourself. Don't grab it out of their hand. Don't start with a threat.","It's hard to stop, I get it. AND the timer is about to go off. That's our signal screen time is done. Do you want to push the 'off' button, or should I?","State the boundary (timer is the boss). Then, offer a choice about *how* the 'off' happens. This is a classic autonomy-granting choice.","Don't say 'but'. Don't offer 'five more minutes'. Don't get into a negotiation.","You're in charge of turning it off. You can push that button like a big kid. As soon as it's off, you can be the leader who chooses our next activity: blocks or reading?","Empower them by giving them *physical control* over the 'off' button. Then, immediately empower them again by making them the 'leader' of the *next* thing.","Don't criticize *how* they turn it off (e.g., if they slam the button). Don't say 'see, that wasn't hard'. Just move on.","The transition from high-dopamine screens is hard. Defiant children feel a loss of control. Giving them physical control over the 'off' button gives their brain an 'action' to perform, preventing the amygdala hijack.","They will still be upset. This script *reduces* the meltdown, it doesn't always prevent it.","They may refuse to choose. In that case, say 'Okay, I'll push the button this time.' Then do it calmly.","Next time, they will be more likely to choose to push it themselves.","Screens-Meltdown After Screens|Screens-Negotiating More Time|Transitions-Resisting Activity Change"
"Meltdown After Screens","Screens","DEFIANT","Hard","4-8","15","Stop this! You knew it was time to turn it off! This is what happens every time! You're not getting screens tomorrow!","Wow, you are having HUGE feelings right now. You are so angry and sad that screen time is over. It's really hard.","Stop, drop, and connect. Do nothing else. Sit on the floor near them. Don't try to talk over the crying. Just be a calm, solid presence.","Don't yell. Don't threaten future screen time (punishment doesn't work). Don't lecture. Don't say 'You're fine' or 'Stop crying'.","It's okay to be angry. I'm right here. AND the screens are still off. I'm not turning them back on. When your body is calm, you can choose what we do next.","This is 'connection' + 'firm boundary'. Validate the feeling 100%. Hold the limit 100%. Don't rush them. Just sit with them.","Don't say 'If you calm down, then...'. Don't bribe them. Don't offer the screen back. Don't try to reason with them.","You're in charge of your body. You can cry as much as you need to. When you're ready, you can come sit with me, or we can build that tower. You decide when you're ready.","This is advanced. You are giving them *autonomy over their own meltdown*. You are not trying to stop it. You are empowering them to move *through* it.","Don't poke them. Don't try to force a hug. Don't keep talking. Let them have their feelings, knowing the boundary is firm.","This is a tantrum, not a negotiation. They feel out of control. Trying to 'control' them escalates it. By giving them control ('You decide when you're ready'), you remove the 'fight' from their fight-or-flight response.","This will take a long time the first few times. They are testing if you will crack. You must not.","They may scream 'I hate you!'. Stay calm. 'I hear you're angry, and I love you.'","When they calm, don't lecture. Just move on. 'You're calm now. Great. Did you want to build blocks?'","Tantrums-Long Duration Tantrums|Tantrums-Control-Seeking Behavior"
"Demanding Screen Time","Screens","DEFIANT","Easy","3-7","5","No! You're not having the iPad! You just woke up! Stop asking!","You really want to play your game right now. It's the first thing you thought of!","Kneel down, make warm eye contact. Smile. Connect with their *desire* first.","Don't start with 'No'. Don't sound annoyed. Don't list all the reasons they can't have it.","I know you love that game, AND screen time isn't on our 'morning plan'. Screen time happens this afternoon. Right now, you have a choice: do you want to be in charge of making the toast, or in charge of pouring the cereal?","Validate the desire, then state the *rule* or *plan* as the boss. Then, immediately pivot to a powerful, autonomous choice about the *current* activity.","Don't say '...but you can't'. Don't say 'Maybe later' (be specific). Don't offer a weak choice. The choice must be empowering.","You get to be the breakfast helper. Which job do you want? You're so good at both of them!","Give them a new, powerful 'job' that is more compelling than fighting for something they can't have.","Don't let them negotiate. If they say 'Neither! I want iPad!', just calmly repeat: 'iPad is for this afternoon. The choice for breakfast is toast or cereal. You decide.'","This redirects their need for autonomy away from the 'no' (screens) and toward a 'yes' (breakfast job). You are giving their brain a new, acceptable problem to solve and a way to feel in control.","They will likely ask 'Why?'. Don't get into a 'why' debate. Just restate the plan. 'That's just the plan for today.'","The choice you offer must be genuinely empowering. 'Pouring cereal' is a big-kid job.","This teaches them that the 'plan' is the boss, not you.","Morning_Routines-Waking Up Grumpy|Screens-Negotiating More Time"
"Negotiating More Time","Screens","DEFIANT","Moderate","5-8","5","I said two minutes, and that was two minutes ago! It's over! Give me that!","You are a very good negotiator! You're trying to get more time because you're having so much fun.","Use a playful, 'I see what you're doing' tone. Smile. This defuses the power struggle by naming their (admirable) strategy.","Don't get angry. Don't accuse them of 'arguing'. Don't get into a back-and-forth debate.","You're good at that! AND our deal was for 10 minutes, and the timer went off. A deal's a deal. You can be in charge of turning it off, or you can choose our next snack. Which job do you want?","Acknowledge their skill ('You're a good negotiator'). State the boundary (the 'deal' or 'timer'). Then offer two 'power' choices. One is control over the 'off', the other is control over the *next* thing.","Don't say 'But our deal was...'. Don't offer 'one more minute' (this teaches negotiation works).","You can be the 'Off' boss or the 'Snack' boss. You're in charge of the choice.","Frame the choices as powerful 'jobs'. This gives them a way to back down from the negotiation 'battle' while saving face and gaining autonomy in a new area.","Don't let them choose both. 'That's a tough choice! Pick one.'","This script respects their intelligence and their drive for control by reframing them from a 'negotiator' (a-g-g-r-e-s-s-i-v-e) to a 'boss' (empowered). It satisfies the need for control *cooperatively*.","They may still be grumpy, but they are less likely to have a full meltdown.","They may choose 'Snack boss' and then refuse to turn off the screen. You say 'Great, you chose snack. I'll turn off the screen while you get the bowls.'","Screens-Refusing to Turn Off|Screens-Meltdown After Screens"
"Refusing New Foods","Mealtime","DEFIANT","Easy","2-6","5","You have to try it! Just one bite! If you don't try it, no dessert!","You looked at the chicken and your body is saying 'Nope, not for me tonight'. That's okay.","Use a neutral, observational tone. No pressure. Sit and eat your own food. Model enjoyment.","Don't pressure. Don't bribe. Don't threaten. Don't make a special, separate meal. Don't force 'one bite'.","This food is here for you to eat if you want it, AND you are in charge of your own body. You don't have to eat it. You can eat your 'safe' food [e.g., the rice and bread].","This is Ellyn Satter's Division of Responsibility. State the boundary: parent provides, child decides. Validate their *right* to refuse. (Assuming there is at least one 'safe' food on the plate).","Don't say 'But you liked it last week'. Don't sigh. Don't try to 'sell' the food.","You're in charge of what goes in your mouth. This chicken is delicious, and I'll put it on the table again another day. Maybe your body will be ready then.","This gives them 100% autonomy, which is the *only* way to win a food battle with a defiant child. You are giving them *full permission* to not eat it.","Don't offer an alternative meal. 'Dinner is what's on the table. You can eat the parts you like.'","Food is a prime area for control battles. This script removes the *battle*. By giving them full autonomy, the food is no-longer a weapon. Their need for control is met, so they may *eventually* try it.","This is a long-term strategy. They will not eat the new food tonight. That is the point.","The goal is a peaceful meal, not a 'won' battle.","They may complain 'I'm hungry' after dinner. Calmly say 'I hear you. Breakfast is in the morning.'","Mealtime-Food Battles|Mealtime-Leaving Table"
"Food Battles (Refusing All Food)","Mealtime","DEFIANT","Moderate","3-7","10","Eat your dinner! You can't just not eat! You'll starve!","You're looking at your plate and you feel like you don't want any of it. Your body is saying 'no' to all of it right now.","Stay completely neutral. No anger, no frustration. Just observe. Keep eating your own meal.","Don't engage in a power struggle. Don't beg. Don't threaten. Don't become a short-order cook.","That's a tough feeling, AND dinner is what we're having. You are in charge of your body, and you can choose not to eat. Dinner will be over in 10 minutes when the timer goes off.","Validate their 'no'. Re-state the boundary (this is dinner). Then, give them *full autonomy* over their choice, *including* the natural consequence.","Don't say 'But you have to eat'. Don't offer a different meal. Don't try to coax 'just one bite'.","You're the boss of your belly. If your belly says 'no', you can listen to it. The kitchen will be closed after dinner, and we'll have breakfast in the morning. Your choice.","Empower them as the 'boss' of their own body. State the natural consequence (kitchen closed) in a neutral, non-threatening way.","Don't state the consequence as a threat ('...and you'll be hungry!'). Just state it as a fact.","This is the ultimate 'autonomy' script. It takes the 'fight' completely out of the situation. A defiant child who has nothing to push against has no battle to win. They will test this.","They will absolutely get up from the table, not eat, and then 30 minutes later say 'I'm hungry'.","You must *calmly* say, 'I hear you. You chose not to eat dinner. The kitchen is closed. Breakfast is in the morning.' This only works if you hold the boundary.","Mealtime-Refusing New Foods|Mealtime-Leaving Table"
