title,profile,category,wrong_way,phrase_1,phrase_1_action,phrase_2,phrase_2_action,phrase_3,phrase_3_action,neurological_tip
Bedtime Resistance - Won't Get in PJs,DISTRACTED,Bedtime,"Stop playing and put your pajamas on right now!","I see your brain is still in play mode. Let's help it switch to sleep mode.",Hold up two pairs of pajamas for visual choice,"Do you want the dinosaur PJs or the superhero PJs? You pick.",Point to each option and wait for their decision,"Great choice! Let's put them on and then we'll do one calm activity.",Guide them step-by-step through getting dressed,"DISTRACTED children need external cues to shift tasks. Offering choice activates their prefrontal cortex for decision-making while the visual options and step-by-step guidance provide the external structure their developing executive function needs."
Bedtime - Overtired Hyperactivity,DISTRACTED,Bedtime,"Calm down and go to bed! You're acting crazy!","Your body missed its sleepy window and now it feels buzzy. Let's help your brain calm down.",Dim the lights and speak in a quieter voice,"We're going to do some heavy work to help your muscles relax.",Guide them to push against your hands or do wall push-ups for 2 minutes,"Now your body is ready for sleep. Let's get into bed.",Lead them to bed with a calm presence,"When DISTRACTED children miss their sleep window, cortisol surges create hyperactivity. Heavy proprioceptive work (pushing, pulling) increases dopamine and helps their sympathetic nervous system down-regulate so melatonin can take effect."
Bedtime - Screen Time Too Close,DISTRACTED,Bedtime,"Turn off that screen! It's bedtime!","I know the screen is exciting for your brain. The blue light is telling your brain it's daytime.",Begin turning off screens together,"Let's help your brain know it's actually nighttime now. We're going to do something different.",Hand them a book or quiet toy,"In a few minutes your brain will start making sleepy chemicals. Let's read this together.",Sit together with the calm activity,"Blue light suppresses melatonin production by 58-81% in children. DISTRACTED brains are especially vulnerable to screen-based dopamine loops. Transitioning to low-stimulation activities allows their circadian rhythm to reset and melatonin production to resume."
Bedtime - Wants One More Story,DISTRACTED,Bedtime,"No more stories! I already read three!","Your brain loves stories and wants to keep going. Let's look at how many we planned.",Point to visual bedtime chart showing story limit,"We agreed on two stories tonight. Your brain might want more, but your body needs sleep.",Place hand on their shoulder for grounding,"Tomorrow night we get to pick two new stories. Which ones should we read?",Help them think ahead to create anticipation,"DISTRACTED children struggle with stopping preferred activities due to poor impulse control and novelty-seeking. Referring to a pre-agreed visual plan bypasses in-the-moment resistance, while previewing tomorrow's stories gives their dopamine-seeking brain something to look forward to."
Bedtime - Won't Stay in Bed,DISTRACTED,Bedtime,"Get back in bed right now! Stop getting up!","I notice your body keeps getting up. Your brain is having trouble staying still.",Walk them back calmly without excessive talking,"Let's give your body something to do while it falls asleep. Try squeezing and relaxing your muscles.",Demonstrate progressive muscle relaxation: tense for 5 seconds, release,"Each time your brain thinks of something, just notice it and let it float away like a cloud.",Sit nearby briefly to provide calm presence,"The DISTRACTED brain has reduced activity in neural networks responsible for sustained attention. Their Default Mode Network stays active instead of quieting. Physical techniques like progressive muscle relaxation give their body something to focus on while teaching self-regulation."
Bedtime - Fears/Anxiety About Dark,DISTRACTED,Bedtime,"There's nothing to be scared of! Just go to sleep!","Your brain is very alert right now and noticing everything. That's how brains keep us safe.",Sit on the edge of the bed at eye level,"Let's teach your brain that this room is a safe place. What do you see that's familiar?",Have them name 5 things they can see in the room,"Your brain is learning that everything here is safe. I'm right here with you.",Provide physical comfort (hand on back, sitting nearby),"DISTRACTED children have hyperactive attention systems that notice all stimuli, making darkness feel threatening. Grounding them in the present with sensory observation (5 things you see) engages their prefrontal cortex and reduces amygdala activation, shifting from threat-detection to safety-recognition mode."
Bedtime - Can't Fall Asleep,DISTRACTED,Bedtime,"Just close your eyes and fall asleep!","Your brain is still making wake-up chemicals instead of sleep chemicals. Let's help it switch.",Guide them to a comfortable position,"We're going to breathe in for 4, hold for 4, and out for 4. This tells your brain it's safe to rest.",Breathe together, placing their hand on their belly to feel it rise and fall,"Each breath is helping your brain make melatonin, the sleepy chemical. Keep breathing slowly.",Continue breathing together for 2-3 minutes,"DISTRACTED brains have difficulty down-regulating arousal systems. Box breathing activates the parasympathetic nervous system through vagal stimulation, reducing cortisol and norepinephrine while supporting melatonin production. The physical sensation provides their attention system something to focus on."
Bedtime - Transition from Active Play,DISTRACTED,Bedtime,"No more playing! It's bed time now!","Your body is still in play mode with lots of energy. Let's help it shift to calm mode.",Set a visible timer for 10 minutes,"You have 10 more minutes of play time. When the timer goes off, we'll start our wind-down routine.",Check in at 5 minutes: "5 minutes left. Start thinking about how you'll finish up.","Time's up. Let's do our walk-to-bed like astronauts in slow motion.",Make the transition playful with slow-motion walking,"DISTRACTED children need extended transition times due to poor task-switching abilities in their developing prefrontal cortex. Visual timers provide external structure, while making the transition itself playful reduces resistance by maintaining engagement rather than abruptly stopping preferred activity."
Bedtime - Needs Movement to Settle,DISTRACTED,Bedtime,"Stop wiggling and lie still!","I see your body needs to move before it can be still. That's how your brain works.",Lead them to do 10 jumping jacks or running in place,"Now let's do some stretches to help your muscles relax.",Guide through 3-4 gentle stretches (reach up, touch toes, twist side to side),"Your body did the movement it needed. Now it's ready to rest.",Help them get into bed while their body is calmer,"DISTRACTED brains benefit from acute physical activity before sleep—it increases dopamine and norepinephrine in the prefrontal cortex, improves emotion regulation, and then allows arousal to decrease. Fidgeting and movement are neurological needs, not defiance."
Bedtime - Forgot Part of Routine,DISTRACTED,Bedtime,"We already did the routine! Stop stalling!","Your brain is checking to make sure we did all the steps. Let's look at our chart together.",Walk to the visual bedtime routine chart,"Let's check off what we did: bath, pajamas, teeth, story. What are we missing?",Help them identify if anything is truly missing or if anxiety is talking,"Everything is done. Your brain can relax now. You're safe and ready for sleep.",Provide reassurance while guiding back to bed,"DISTRACTED children have poor working memory, so they genuinely may not remember completing steps. Visual checklists provide external memory support. Also, the uncertainty triggers their threat-detection system. Reviewing the chart provides concrete reassurance that everything is complete."
